,gene,name,total,max1,max3
0,ENSG00000242268,LINC02082,172.74994471800008,11.539542906,30.098632967999993
1,ENSG00000270112,AC090241.2,128.99865381799984,7.561451026,22.287079023
2,ENSG00000167578,RAB4B,60.185343531000015,7.725474586,21.431424288000002
3,ENSG00000078237,TIGAR,89.67543274899998,11.659145976,29.330161328
4,ENSG00000146083,RNF44,6.0947408110000065,2.197429576,4.646735563000001
5,ENSG00000225275,NUP210P2,14.883403102000008,8.626885161000004,12.332308963000004
6,ENSG00000158486,DNAH3,135.15585311299995,12.089384476,26.859137808
7,ENSG00000198242,RPL23A,2.4144527050000004,1.803547655,2.4144527050000004
8,ENSG00000259883,EHD4-AS1,72.092887624,8.480191016000001,24.544356847
9,ENSG00000231981,somethw,-1.0,-1.0,-1.0
10,ENSG00000269475,somethw,-1.0,-1.0,-1.0
11,ENSG00000201788,somethw,-1.0,-1.0,-1.0
12,ENSG00000134108,somethw,-1.0,-1.0,-1.0
13,ENSG00000263089,somethw,-1.0,-1.0,-1.0
14,ENSG00000172137,somethw,-1.0,-1.0,-1.0
15,ENSG00000167700,somethw,-1.0,-1.0,-1.0
16,ENSG00000234943,somethw,-1.0,-1.0,-1.0
17,ENSG00000240423,somethw,-1.0,-1.0,-1.0
18,ENSG00000060642,somethw,-1.0,-1.0,-1.0
19,ENSG00000271616,somethw,-1.0,-1.0,-1.0
20,ENSG00000234881,somethw,-1.0,-1.0,-1.0
21,ENSG00000236040,somethw,-1.0,-1.0,-1.0
22,ENSG00000231105,somethw,-1.0,-1.0,-1.0
23,ENSG00000243044,somethw,-1.0,-1.0,-1.0
24,ENSG00000182141,somethw,-1.0,-1.0,-1.0
25,ENSG00000269416,somethw,-1.0,-1.0,-1.0
26,ENSG00000275265,somethw,-1.0,-1.0,-1.0
27,ENSG00000185105,somethw,-1.0,-1.0,-1.0
28,ENSG00000233540,somethw,-1.0,-1.0,-1.0
29,ENSG00000102174,somethw,-1.0,-1.0,-1.0
30,ENSG00000271647,somethw,-1.0,-1.0,-1.0
31,ENSG00000166391,somethw,-1.0,-1.0,-1.0
32,ENSG00000270469,somethw,-1.0,-1.0,-1.0
33,ENSG00000070087,somethw,-1.0,-1.0,-1.0
34,ENSG00000262950,somethw,-1.0,-1.0,-1.0
35,ENSG00000255420,somethw,-1.0,-1.0,-1.0
36,ENSG00000280038,somethw,-1.0,-1.0,-1.0
37,ENSG00000266261,somethw,-1.0,-1.0,-1.0
38,ENSG00000153561,somethw,-1.0,-1.0,-1.0
39,ENSG00000269148,somethw,-1.0,-1.0,-1.0
40,ENSG00000274458,somethw,-1.0,-1.0,-1.0
41,ENSG00000273406,somethw,-1.0,-1.0,-1.0
42,ENSG00000179262,somethw,-1.0,-1.0,-1.0
43,ENSG00000214198,somethw,-1.0,-1.0,-1.0
44,ENSG00000278099,somethw,-1.0,-1.0,-1.0
45,ENSG00000166368,somethw,-1.0,-1.0,-1.0
46,ENSG00000206072,somethw,-1.0,-1.0,-1.0
47,ENSG00000234900,somethw,-1.0,-1.0,-1.0
48,ENSG00000258630,somethw,-1.0,-1.0,-1.0
49,ENSG00000127511,somethw,-1.0,-1.0,-1.0
50,ENSG00000225269,somethw,-1.0,-1.0,-1.0
51,ENSG00000214062,somethw,-1.0,-1.0,-1.0
52,ENSG00000095587,somethw,-1.0,-1.0,-1.0
53,ENSG00000274219,somethw,-1.0,-1.0,-1.0
54,ENSG00000230100,somethw,-1.0,-1.0,-1.0
55,ENSG00000064601,somethw,-1.0,-1.0,-1.0
56,ENSG00000227766,somethw,-1.0,-1.0,-1.0
57,ENSG00000008517,somethw,-1.0,-1.0,-1.0
58,ENSG00000215246,somethw,-1.0,-1.0,-1.0
59,ENSG00000266644,somethw,-1.0,-1.0,-1.0
60,ENSG00000236893,somethw,-1.0,-1.0,-1.0
61,ENSG00000254465,somethw,-1.0,-1.0,-1.0
62,ENSG00000088179,somethw,-1.0,-1.0,-1.0
63,ENSG00000070081,somethw,-1.0,-1.0,-1.0
64,ENSG00000275479,somethw,-1.0,-1.0,-1.0
65,ENSG00000166634,somethw,-1.0,-1.0,-1.0
66,ENSG00000261789,somethw,-1.0,-1.0,-1.0
67,ENSG00000254092,somethw,-1.0,-1.0,-1.0
68,ENSG00000197421,somethw,-1.0,-1.0,-1.0
69,ENSG00000161558,somethw,-1.0,-1.0,-1.0
70,ENSG00000276644,somethw,-1.0,-1.0,-1.0
71,ENSG00000260900,somethw,-1.0,-1.0,-1.0
72,ENSG00000278732,somethw,-1.0,-1.0,-1.0
73,ENSG00000196167,somethw,-1.0,-1.0,-1.0
74,ENSG00000268465,somethw,-1.0,-1.0,-1.0
75,ENSG00000264438,somethw,-1.0,-1.0,-1.0
76,ENSG00000204113,somethw,-1.0,-1.0,-1.0
77,ENSG00000207000,somethw,-1.0,-1.0,-1.0
78,ENSG00000254131,somethw,-1.0,-1.0,-1.0
79,ENSG00000118972,somethw,-1.0,-1.0,-1.0
80,ENSG00000264104,somethw,-1.0,-1.0,-1.0
81,ENSG00000179833,somethw,-1.0,-1.0,-1.0
82,ENSG00000064225,somethw,-1.0,-1.0,-1.0
83,ENSG00000267108,somethw,-1.0,-1.0,-1.0
84,ENSG00000057294,somethw,-1.0,-1.0,-1.0
85,ENSG00000227535,somethw,-1.0,-1.0,-1.0
86,ENSG00000252628,somethw,-1.0,-1.0,-1.0
87,ENSG00000166007,somethw,-1.0,-1.0,-1.0
88,ENSG00000273055,somethw,-1.0,-1.0,-1.0
89,ENSG00000242041,somethw,-1.0,-1.0,-1.0
90,ENSG00000278923,somethw,-1.0,-1.0,-1.0
91,ENSG00000167768,somethw,-1.0,-1.0,-1.0
92,ENSG00000280159,somethw,-1.0,-1.0,-1.0
93,ENSG00000235240,somethw,-1.0,-1.0,-1.0
94,ENSG00000264172,somethw,-1.0,-1.0,-1.0
95,ENSG00000199903,somethw,-1.0,-1.0,-1.0
96,ENSG00000200058,somethw,-1.0,-1.0,-1.0
97,ENSG00000275358,somethw,-1.0,-1.0,-1.0
98,ENSG00000218358,somethw,-1.0,-1.0,-1.0
99,ENSG00000266460,somethw,-1.0,-1.0,-1.0
100,ENSG00000260371,somethw,-1.0,-1.0,-1.0
